Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),318,1429
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),315,1440
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),316,1439
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),315,1430
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),314,1426
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),316,1423
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),321,1424
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1421
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),322,1422
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1430
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1427
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1417
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),319,1414
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),319,1413
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1407
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),325,1420
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1413
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1407
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1412
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1414
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),323,1422
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),325,1425
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),326,1431
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1437
