Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),356,1066
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),355,1079
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),356,1078
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),354,1081
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),357,1081
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),356,1081
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),358,1078
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),357,1073
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),358,1072
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),359,1069
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),359,1075
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),359,1079
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),358,1078
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),357,1075
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),359,1084
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),361,1087
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),362,1090
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),362,1088
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),365,1093
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),366,1093
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),364,1085
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),368,1094
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),363,1089
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),363,1094
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),366,1103
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),363,1084
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),361,1083
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),363,1093
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),361,1088
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),361,1085
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),360,1075
Wed Oct 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),356,1059
Thu Nov 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),359,1078
Fri Nov 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),363,1087
Sat Nov 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),363,1102
Sun Nov 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),360,1111
Mon Nov 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),360,1116
Tue Nov 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),362,1120
Wed Nov 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),361,1124
Thu Nov 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),363,1127
Fri Nov 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),363,1141
Sat Nov 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),363,1161
Sun Nov 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),366,1165
Mon Nov 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),373,1159
Tue Nov 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),372,1154
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),369,1153
Thu Nov 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),363,1150
Fri Nov 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),368,1159
Sat Nov 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),370,1160
Sun Nov 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),368,1150
Mon Nov 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),369,1151
Tue Nov 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),369,1151
Wed Nov 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),370,1152
Thu Nov 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),369,1155
Fri Nov 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),369,1161
