Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,935
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,924
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),248,921
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),248,923
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),248,928
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),248,927
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),249,925
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),250,924
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),251,929
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),251,933
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,932
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),246,931
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),246,929
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,932
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),245,926
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),244,925
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),244,921
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),244,915
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,911
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),246,914
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),244,910
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),241,911
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),242,920
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),243,924
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),246,934
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,934
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),248,922
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),248,914
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),247,919
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),244,914
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),243,936
