Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),329,1217
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),326,1216
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),325,1215
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),326,1220
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),325,1229
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1215
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),326,1210
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1198
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),324,1201
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),319,1199
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),318,1195
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),318,1185
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),315,1182
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),314,1182
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),313,1169
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),315,1160
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),313,1147
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),311,1141
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),307,1127
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),306,1120
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),306,1115
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),306,1105
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),303,1096
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),305,1094
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),304,1070
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),304,1051
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),301,1047
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),303,1045
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),298,1047
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),294,1040
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),293,1039
Wed Oct 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),289,1016
Thu Nov 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),290,1013
Fri Nov 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),292,1020
Sat Nov 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),293,1022
Sun Nov 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),291,1038
Mon Nov 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),289,1039
Tue Nov 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),284,1033
Wed Nov 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),283,1028
Thu Nov 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),282,1030
Fri Nov 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),281,1026
Sat Nov 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),281,1029
Sun Nov 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),279,1009
Mon Nov 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),279,1023
Tue Nov 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),276,1026
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),277,1023
Thu Nov 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),274,1025
Fri Nov 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),273,1020
Sat Nov 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),275,1016
Sun Nov 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),273,1005
Mon Nov 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),277,1009
Tue Nov 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),274,1002
Wed Nov 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),273,1010
Thu Nov 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),271,1006
Fri Nov 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),269,1010
Sat Nov 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),269,1014
Sun Nov 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),270,1019
Mon Nov 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),268,1007
Tue Nov 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),270,1011
Wed Nov 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),267,1021
