Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),812,7291
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),808,7268
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),810,7284
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),809,7322
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),809,7301
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),809,7280
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),803,7296
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),800,7322
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),802,7305
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),802,7328
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),795,7292
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),796,7291
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),792,7291
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),789,7258
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),781,7255
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),780,7271
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),776,7220
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),777,7219
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),773,7239
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),700,7289
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),719,7295
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),720,7285
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),717,7274
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),721,7327
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),720,7328
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),716,7304
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),721,7332
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),724,7314
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),726,7329
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),729,7383
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),732,7431
Wed Oct 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),749,7555
Thu Nov 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),753,7575
Fri Nov 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),760,7608
Sat Nov 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),765,7624
Sun Nov 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),770,7609
Mon Nov 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),782,7675
Tue Nov 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),780,7677
Wed Nov 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),788,7737
Thu Nov 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),787,7778
Fri Nov 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),787,7807
Sat Nov 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),789,7826
Sun Nov 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),788,7846
Mon Nov 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),788,7824
Tue Nov 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),788,7829
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),784,7859
Thu Nov 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),779,7856
Fri Nov 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),776,7841
Sat Nov 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),775,7811
Sun Nov 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),780,7832
Mon Nov 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),781,7835
Tue Nov 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),768,7828
Wed Nov 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),755,7791
Thu Nov 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),755,7739
Fri Nov 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),758,7703
Sat Nov 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),763,7689
Sun Nov 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),766,7673
Mon Nov 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),766,7650
Tue Nov 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),764,7614
Wed Nov 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),763,7536
Thu Nov 29 2018 00:00:00 GMT-0800 (Pacific Standard Time),765,7560
Fri Nov 30 2018 00:00:00 GMT-0800 (Pacific Standard Time),764,7549
Sat Dec 01 2018 00:00:00 GMT-0800 (Pacific Standard Time),764,7540
Sun Dec 02 2018 00:00:00 GMT-0800 (Pacific Standard Time),769,7541
Mon Dec 03 2018 00:00:00 GMT-0800 (Pacific Standard Time),770,7522
Tue Dec 04 2018 00:00:00 GMT-0800 (Pacific Standard Time),769,7485
Wed Dec 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),770,7470
Thu Dec 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),766,7451
Fri Dec 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),760,7423
Sat Dec 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),766,7425
Sun Dec 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),768,7430
Mon Dec 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),769,7422
Tue Dec 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),771,7449
Wed Dec 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),775,7422
Thu Dec 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),779,7402
Fri Dec 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),772,7374
Sat Dec 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),769,7373
Sun Dec 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),771,7340
Mon Dec 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),769,7359
Tue Dec 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),770,7383
Wed Dec 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),773,7348
Thu Dec 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),773,7359
Fri Dec 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),775,7370
Sat Dec 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),778,7410
Sun Dec 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),780,7420
Mon Dec 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),776,7421
Tue Dec 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),776,7372
Wed Dec 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),778,7339
Thu Dec 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),776,7260
Fri Dec 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),779,7167
Sat Dec 29 2018 00:00:00 GMT-0800 (Pacific Standard Time),774,7140
Sun Dec 30 2018 00:00:00 GMT-0800 (Pacific Standard Time),775,7081
Mon Dec 31 2018 00:00:00 GMT-0800 (Pacific Standard Time),771,7044
Tue Jan 01 2019 00:00:00 GMT-0800 (Pacific Standard Time),769,6998
Wed Jan 02 2019 00:00:00 GMT-0800 (Pacific Standard Time),772,6937
Thu Jan 03 2019 00:00:00 GMT-0800 (Pacific Standard Time),762,6879
Fri Jan 04 2019 00:00:00 GMT-0800 (Pacific Standard Time),763,6846
Sat Jan 05 2019 00:00:00 GMT-0800 (Pacific Standard Time),760,6857
Sun Jan 06 2019 00:00:00 GMT-0800 (Pacific Standard Time),754,6852
Mon Jan 07 2019 00:00:00 GMT-0800 (Pacific Standard Time),756,6828
Tue Jan 08 2019 00:00:00 GMT-0800 (Pacific Standard Time),752,6699
Wed Jan 09 2019 00:00:00 GMT-0800 (Pacific Standard Time),753,6745
Thu Jan 10 2019 00:00:00 GMT-0800 (Pacific Standard Time),758,6739
Fri Jan 11 2019 00:00:00 GMT-0800 (Pacific Standard Time),765,6785
Sat Jan 12 2019 00:00:00 GMT-0800 (Pacific Standard Time),768,6756
Sun Jan 13 2019 00:00:00 GMT-0800 (Pacific Standard Time),772,6738
Mon Jan 14 2019 00:00:00 GMT-0800 (Pacific Standard Time),770,6727
Tue Jan 15 2019 00:00:00 GMT-0800 (Pacific Standard Time),773,6674
Wed Jan 16 2019 00:00:00 GMT-0800 (Pacific Standard Time),773,6697
Thu Jan 17 2019 00:00:00 GMT-0800 (Pacific Standard Time),769,6708
Fri Jan 18 2019 00:00:00 GMT-0800 (Pacific Standard Time),767,6714
Sat Jan 19 2019 00:00:00 GMT-0800 (Pacific Standard Time),769,6737
Sun Jan 20 2019 00:00:00 GMT-0800 (Pacific Standard Time),767,6742
Mon Jan 21 2019 00:00:00 GMT-0800 (Pacific Standard Time),768,6711
Tue Jan 22 2019 00:00:00 GMT-0800 (Pacific Standard Time),768,6802
Wed Jan 23 2019 00:00:00 GMT-0800 (Pacific Standard Time),769,6841
Thu Jan 24 2019 00:00:00 GMT-0800 (Pacific Standard Time),767,6923
Fri Jan 25 2019 00:00:00 GMT-0800 (Pacific Standard Time),763,6986
Sat Jan 26 2019 00:00:00 GMT-0800 (Pacific Standard Time),765,7010
Sun Jan 27 2019 00:00:00 GMT-0800 (Pacific Standard Time),765,7038
Mon Jan 28 2019 00:00:00 GMT-0800 (Pacific Standard Time),769,7061
Tue Jan 29 2019 00:00:00 GMT-0800 (Pacific Standard Time),765,7104
Wed Jan 30 2019 00:00:00 GMT-0800 (Pacific Standard Time),758,7136
Thu Jan 31 2019 00:00:00 GMT-0800 (Pacific Standard Time),761,7152
Fri Feb 01 2019 00:00:00 GMT-0800 (Pacific Standard Time),760,7169
Sat Feb 02 2019 00:00:00 GMT-0800 (Pacific Standard Time),760,7150
Sun Feb 03 2019 00:00:00 GMT-0800 (Pacific Standard Time),756,7154
Mon Feb 04 2019 00:00:00 GMT-0800 (Pacific Standard Time),757,7188
Tue Feb 05 2019 00:00:00 GMT-0800 (Pacific Standard Time),756,7278
Wed Feb 06 2019 00:00:00 GMT-0800 (Pacific Standard Time),759,7354
Thu Feb 07 2019 00:00:00 GMT-0800 (Pacific Standard Time),761,7422
Fri Feb 08 2019 00:00:00 GMT-0800 (Pacific Standard Time),750,7402
Sat Feb 09 2019 00:00:00 GMT-0800 (Pacific Standard Time),753,7422
Sun Feb 10 2019 00:00:00 GMT-0800 (Pacific Standard Time),753,7453
Mon Feb 11 2019 00:00:00 GMT-0800 (Pacific Standard Time),754,7456
Tue Feb 12 2019 00:00:00 GMT-0800 (Pacific Standard Time),756,7484
Wed Feb 13 2019 00:00:00 GMT-0800 (Pacific Standard Time),761,7471
Thu Feb 14 2019 00:00:00 GMT-0800 (Pacific Standard Time),760,7450
Fri Feb 15 2019 00:00:00 GMT-0800 (Pacific Standard Time),763,7469
Sat Feb 16 2019 00:00:00 GMT-0800 (Pacific Standard Time),761,7453
Sun Feb 17 2019 00:00:00 GMT-0800 (Pacific Standard Time),762,7469
Mon Feb 18 2019 00:00:00 GMT-0800 (Pacific Standard Time),759,7545
Tue Feb 19 2019 00:00:00 GMT-0800 (Pacific Standard Time),760,7558
Wed Feb 20 2019 00:00:00 GMT-0800 (Pacific Standard Time),763,7564
Thu Feb 21 2019 00:00:00 GMT-0800 (Pacific Standard Time),765,7530
Fri Feb 22 2019 00:00:00 GMT-0800 (Pacific Standard Time),765,7559
Sat Feb 23 2019 00:00:00 GMT-0800 (Pacific Standard Time),766,7557
Sun Feb 24 2019 00:00:00 GMT-0800 (Pacific Standard Time),767,7585
Mon Feb 25 2019 00:00:00 GMT-0800 (Pacific Standard Time),768,7619
Tue Feb 26 2019 00:00:00 GMT-0800 (Pacific Standard Time),773,7609
Wed Feb 27 2019 00:00:00 GMT-0800 (Pacific Standard Time),774,7655
Thu Feb 28 2019 00:00:00 GMT-0800 (Pacific Standard Time),777,7651
Fri Mar 01 2019 00:00:00 GMT-0800 (Pacific Standard Time),775,7627
Sat Mar 02 2019 00:00:00 GMT-0800 (Pacific Standard Time),775,7650
Sun Mar 03 2019 00:00:00 GMT-0800 (Pacific Standard Time),775,7648
Mon Mar 04 2019 00:00:00 GMT-0800 (Pacific Standard Time),775,7657
Tue Mar 05 2019 00:00:00 GMT-0800 (Pacific Standard Time),772,7618
Wed Mar 06 2019 00:00:00 GMT-0800 (Pacific Standard Time),769,7580
Thu Mar 07 2019 00:00:00 GMT-0800 (Pacific Standard Time),768,7589
Fri Mar 08 2019 00:00:00 GMT-0800 (Pacific Standard Time),766,7602
Sat Mar 09 2019 00:00:00 GMT-0800 (Pacific Standard Time),766,7591
Sun Mar 10 2019 00:00:00 GMT-0800 (Pacific Standard Time),768,7594
Mon Mar 11 2019 00:00:00 GMT-0700 (Pacific Daylight Time),768,7573
Tue Mar 12 2019 00:00:00 GMT-0700 (Pacific Daylight Time),765,7576
Wed Mar 13 2019 00:00:00 GMT-0700 (Pacific Daylight Time),767,7561
Thu Mar 14 2019 00:00:00 GMT-0700 (Pacific Daylight Time),772,7527
Fri Mar 15 2019 00:00:00 GMT-0700 (Pacific Daylight Time),777,7528
Sat Mar 16 2019 00:00:00 GMT-0700 (Pacific Daylight Time),773,7513
Sun Mar 17 2019 00:00:00 GMT-0700 (Pacific Daylight Time),780,7506
Mon Mar 18 2019 00:00:00 GMT-0700 (Pacific Daylight Time),780,7512
Tue Mar 19 2019 00:00:00 GMT-0700 (Pacific Daylight Time),780,7516
Wed Mar 20 2019 00:00:00 GMT-0700 (Pacific Daylight Time),775,7517
Thu Mar 21 2019 00:00:00 GMT-0700 (Pacific Daylight Time),765,7511
Fri Mar 22 2019 00:00:00 GMT-0700 (Pacific Daylight Time),761,7474
Sat Mar 23 2019 00:00:00 GMT-0700 (Pacific Daylight Time),756,7465
Sun Mar 24 2019 00:00:00 GMT-0700 (Pacific Daylight Time),755,7473
Mon Mar 25 2019 00:00:00 GMT-0700 (Pacific Daylight Time),753,7432
Tue Mar 26 2019 00:00:00 GMT-0700 (Pacific Daylight Time),750,7402
Wed Mar 27 2019 00:00:00 GMT-0700 (Pacific Daylight Time),748,7336
Thu Mar 28 2019 00:00:00 GMT-0700 (Pacific Daylight Time),746,7340
Fri Mar 29 2019 00:00:00 GMT-0700 (Pacific Daylight Time),749,7376
Sat Mar 30 2019 00:00:00 GMT-0700 (Pacific Daylight Time),744,7380
Sun Mar 31 2019 00:00:00 GMT-0700 (Pacific Daylight Time),745,7435
Mon Apr 01 2019 00:00:00 GMT-0700 (Pacific Daylight Time),741,6959
Tue Apr 02 2019 00:00:00 GMT-0700 (Pacific Daylight Time),744,6981
Wed Apr 03 2019 00:00:00 GMT-0700 (Pacific Daylight Time),741,7006
Thu Apr 04 2019 00:00:00 GMT-0700 (Pacific Daylight Time),741,7013
Fri Apr 05 2019 00:00:00 GMT-0700 (Pacific Daylight Time),737,7057
Sat Apr 06 2019 00:00:00 GMT-0700 (Pacific Daylight Time),737,7065
Sun Apr 07 2019 00:00:00 GMT-0700 (Pacific Daylight Time),736,7097
Mon Apr 08 2019 00:00:00 GMT-0700 (Pacific Daylight Time),739,7092
