Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1118,8473
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1116,8442
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1119,8449
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1118,8481
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1120,8489
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1120,8524
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1116,8525
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1117,8748
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1116,8975
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1120,9082
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1123,9067
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1129,9106
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1132,9140
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1133,9204
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1143,9573
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1140,9624
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1136,9631
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1133,9627
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1146,9619
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1153,9656
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1146,9641
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1143,9629
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1142,9631
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1145,9659
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1147,9664
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),1152,9628
