Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),540,7109
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),540,7149
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),528,7123
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),524,7139
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,7156
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),522,7140
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),522,7118
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),524,7056
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),524,7038
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),522,6993
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),522,6972
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,6960
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),516,6949
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),512,6920
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),511,6876
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,6887
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),521,6885
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),513,6890
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),511,6882
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),504,6844
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),497,6841
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),500,6831
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),501,6855
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),498,6895
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),500,6862
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),515,6816
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),521,6840
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),519,6832
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),518,6831
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),511,6838
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),507,6792
Wed Oct 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),505,6845
Thu Nov 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),502,6873
Fri Nov 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),501,6904
Sat Nov 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),500,6929
Sun Nov 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),502,6944
Mon Nov 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),501,7020
Tue Nov 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),500,7083
Wed Nov 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),501,7139
Thu Nov 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),501,7165
Fri Nov 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),503,7215
Sat Nov 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),499,7258
Sun Nov 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),497,7259
Mon Nov 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),498,7282
Tue Nov 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),501,7284
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),500,7324
Thu Nov 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),497,7329
Fri Nov 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),492,7322
Sat Nov 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),495,7307
Sun Nov 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),495,7310
Mon Nov 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),493,7227
Tue Nov 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),465,7225
Wed Nov 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),472,7207
Thu Nov 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),474,7152
Fri Nov 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),480,7116
Sat Nov 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),491,7115
Sun Nov 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),489,7032
Mon Nov 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),485,7036
Tue Nov 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),484,7012
Wed Nov 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),484,6951
Thu Nov 29 2018 00:00:00 GMT-0800 (Pacific Standard Time),488,6972
Fri Nov 30 2018 00:00:00 GMT-0800 (Pacific Standard Time),484,6924
Sat Dec 01 2018 00:00:00 GMT-0800 (Pacific Standard Time),477,6936
Sun Dec 02 2018 00:00:00 GMT-0800 (Pacific Standard Time),478,6949
Mon Dec 03 2018 00:00:00 GMT-0800 (Pacific Standard Time),477,6929
Tue Dec 04 2018 00:00:00 GMT-0800 (Pacific Standard Time),477,6918
Wed Dec 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),474,6900
Thu Dec 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),472,6894
Fri Dec 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),471,6896
Sat Dec 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),464,6876
Sun Dec 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),458,6866
Mon Dec 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),456,6910
Tue Dec 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),455,6939
Wed Dec 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),452,6921
Thu Dec 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),447,6909
Fri Dec 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),446,6942
Sat Dec 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),442,6941
Sun Dec 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),443,6946
Mon Dec 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),438,6947
Tue Dec 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),437,6976
Wed Dec 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),433,6983
Thu Dec 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),431,7032
Fri Dec 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),432,7037
Sat Dec 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),429,7052
Sun Dec 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),432,7038
