Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),608,6995
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),606,7013
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),606,6999
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),604,6981
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),602,6973
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),603,7014
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),603,7022
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),603,7044
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),603,6998
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),599,6957
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),602,6940
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),603,6935
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),602,6926
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),599,6901
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),600,6859
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),598,6843
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),595,6831
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),597,6855
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),599,6884
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),596,6865
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),595,6842
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),592,6798
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),595,6825
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),593,6841
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),594,6879
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),592,6868
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),591,6888
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),590,6909
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),588,6912
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),582,6933
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),588,6949
Wed Oct 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),583,7000
Thu Nov 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),590,7043
Fri Nov 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),584,7067
Sat Nov 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),585,7064
Sun Nov 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),594,7082
Mon Nov 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),599,7154
Tue Nov 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),602,7199
Wed Nov 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),607,7281
Thu Nov 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),607,7312
Fri Nov 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),605,7408
Sat Nov 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),606,7417
Sun Nov 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),610,7423
Mon Nov 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),610,7429
Tue Nov 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),618,7429
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),618,7458
Thu Nov 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),621,7443
Fri Nov 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),621,7447
Sat Nov 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),627,7464
Sun Nov 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),628,7491
Mon Nov 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),623,7470
Tue Nov 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),614,7465
Wed Nov 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),616,7428
Thu Nov 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),614,7411
Fri Nov 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),614,7366
Sat Nov 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),613,7363
Sun Nov 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),617,7344
Mon Nov 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),622,7394
Tue Nov 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),626,7380
Wed Nov 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),631,7366
Thu Nov 29 2018 00:00:00 GMT-0800 (Pacific Standard Time),632,7385
Fri Nov 30 2018 00:00:00 GMT-0800 (Pacific Standard Time),634,7382
Sat Dec 01 2018 00:00:00 GMT-0800 (Pacific Standard Time),631,7395
Sun Dec 02 2018 00:00:00 GMT-0800 (Pacific Standard Time),625,7387
Mon Dec 03 2018 00:00:00 GMT-0800 (Pacific Standard Time),625,7336
Tue Dec 04 2018 00:00:00 GMT-0800 (Pacific Standard Time),624,7342
Wed Dec 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),625,7326
Thu Dec 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),627,7314
Fri Dec 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),628,7261
Sat Dec 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),626,7263
