Date,Votes,Nations
Sun Sep 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),514,6879
Mon Oct 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),513,6872
Tue Oct 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,6860
Wed Oct 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),524,6895
Thu Oct 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),519,6873
Fri Oct 05 2018 00:00:00 GMT-0700 (Pacific Daylight Time),521,6845
Sat Oct 06 2018 00:00:00 GMT-0700 (Pacific Daylight Time),518,6859
Sun Oct 07 2018 00:00:00 GMT-0700 (Pacific Daylight Time),522,6848
Mon Oct 08 2018 00:00:00 GMT-0700 (Pacific Daylight Time),521,6823
Tue Oct 09 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,6849
Wed Oct 10 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,6796
Thu Oct 11 2018 00:00:00 GMT-0700 (Pacific Daylight Time),523,6818
Fri Oct 12 2018 00:00:00 GMT-0700 (Pacific Daylight Time),520,6807
Sat Oct 13 2018 00:00:00 GMT-0700 (Pacific Daylight Time),520,6747
Sun Oct 14 2018 00:00:00 GMT-0700 (Pacific Daylight Time),518,6757
Mon Oct 15 2018 00:00:00 GMT-0700 (Pacific Daylight Time),516,6786
Tue Oct 16 2018 00:00:00 GMT-0700 (Pacific Daylight Time),515,6780
Wed Oct 17 2018 00:00:00 GMT-0700 (Pacific Daylight Time),514,6813
Thu Oct 18 2018 00:00:00 GMT-0700 (Pacific Daylight Time),509,6823
Fri Oct 19 2018 00:00:00 GMT-0700 (Pacific Daylight Time),506,6811
Sat Oct 20 2018 00:00:00 GMT-0700 (Pacific Daylight Time),506,6759
Sun Oct 21 2018 00:00:00 GMT-0700 (Pacific Daylight Time),501,6728
Mon Oct 22 2018 00:00:00 GMT-0700 (Pacific Daylight Time),498,6757
Tue Oct 23 2018 00:00:00 GMT-0700 (Pacific Daylight Time),498,6763
Wed Oct 24 2018 00:00:00 GMT-0700 (Pacific Daylight Time),497,6782
Thu Oct 25 2018 00:00:00 GMT-0700 (Pacific Daylight Time),496,6789
Fri Oct 26 2018 00:00:00 GMT-0700 (Pacific Daylight Time),491,6769
Sat Oct 27 2018 00:00:00 GMT-0700 (Pacific Daylight Time),484,6767
Sun Oct 28 2018 00:00:00 GMT-0700 (Pacific Daylight Time),485,6741
Mon Oct 29 2018 00:00:00 GMT-0700 (Pacific Daylight Time),482,6766
Tue Oct 30 2018 00:00:00 GMT-0700 (Pacific Daylight Time),469,6689
Wed Oct 31 2018 00:00:00 GMT-0700 (Pacific Daylight Time),454,6678
Thu Nov 01 2018 00:00:00 GMT-0700 (Pacific Daylight Time),470,6773
Fri Nov 02 2018 00:00:00 GMT-0700 (Pacific Daylight Time),481,6833
Sat Nov 03 2018 00:00:00 GMT-0700 (Pacific Daylight Time),474,6827
Sun Nov 04 2018 00:00:00 GMT-0700 (Pacific Daylight Time),468,6816
Mon Nov 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),468,6858
Tue Nov 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),463,6827
Wed Nov 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),463,6863
Thu Nov 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),461,6889
Fri Nov 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),457,6967
Sat Nov 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),459,7014
Sun Nov 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),456,7017
Mon Nov 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),457,7026
Tue Nov 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),461,6992
Wed Nov 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),460,6979
Thu Nov 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),459,6974
Fri Nov 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),460,6977
Sat Nov 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),467,6995
Sun Nov 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),470,6976
Mon Nov 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),467,6995
Tue Nov 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),452,6975
Wed Nov 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),454,6877
Thu Nov 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),455,6851
Fri Nov 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),456,6833
Sat Nov 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),457,6821
Sun Nov 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),459,6804
Mon Nov 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),459,6822
Tue Nov 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),455,6814
Wed Nov 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),457,6773
Thu Nov 29 2018 00:00:00 GMT-0800 (Pacific Standard Time),464,6791
Fri Nov 30 2018 00:00:00 GMT-0800 (Pacific Standard Time),464,6790
Sat Dec 01 2018 00:00:00 GMT-0800 (Pacific Standard Time),461,6792
Sun Dec 02 2018 00:00:00 GMT-0800 (Pacific Standard Time),458,6787
Mon Dec 03 2018 00:00:00 GMT-0800 (Pacific Standard Time),456,6775
Tue Dec 04 2018 00:00:00 GMT-0800 (Pacific Standard Time),456,6781
Wed Dec 05 2018 00:00:00 GMT-0800 (Pacific Standard Time),455,6791
Thu Dec 06 2018 00:00:00 GMT-0800 (Pacific Standard Time),451,6787
Fri Dec 07 2018 00:00:00 GMT-0800 (Pacific Standard Time),450,6785
Sat Dec 08 2018 00:00:00 GMT-0800 (Pacific Standard Time),447,6770
Sun Dec 09 2018 00:00:00 GMT-0800 (Pacific Standard Time),450,6782
Mon Dec 10 2018 00:00:00 GMT-0800 (Pacific Standard Time),456,6779
Tue Dec 11 2018 00:00:00 GMT-0800 (Pacific Standard Time),453,6793
Wed Dec 12 2018 00:00:00 GMT-0800 (Pacific Standard Time),457,6795
Thu Dec 13 2018 00:00:00 GMT-0800 (Pacific Standard Time),463,6795
Fri Dec 14 2018 00:00:00 GMT-0800 (Pacific Standard Time),475,6755
Sat Dec 15 2018 00:00:00 GMT-0800 (Pacific Standard Time),485,6722
Sun Dec 16 2018 00:00:00 GMT-0800 (Pacific Standard Time),488,6700
Mon Dec 17 2018 00:00:00 GMT-0800 (Pacific Standard Time),489,6702
Tue Dec 18 2018 00:00:00 GMT-0800 (Pacific Standard Time),493,6713
Wed Dec 19 2018 00:00:00 GMT-0800 (Pacific Standard Time),492,6751
Thu Dec 20 2018 00:00:00 GMT-0800 (Pacific Standard Time),493,6758
Fri Dec 21 2018 00:00:00 GMT-0800 (Pacific Standard Time),495,6786
Sat Dec 22 2018 00:00:00 GMT-0800 (Pacific Standard Time),498,6807
Sun Dec 23 2018 00:00:00 GMT-0800 (Pacific Standard Time),500,6816
Mon Dec 24 2018 00:00:00 GMT-0800 (Pacific Standard Time),499,6805
Tue Dec 25 2018 00:00:00 GMT-0800 (Pacific Standard Time),501,6768
Wed Dec 26 2018 00:00:00 GMT-0800 (Pacific Standard Time),502,6723
Thu Dec 27 2018 00:00:00 GMT-0800 (Pacific Standard Time),506,6648
Fri Dec 28 2018 00:00:00 GMT-0800 (Pacific Standard Time),507,6575
Sat Dec 29 2018 00:00:00 GMT-0800 (Pacific Standard Time),509,6609
Sun Dec 30 2018 00:00:00 GMT-0800 (Pacific Standard Time),510,6598
Mon Dec 31 2018 00:00:00 GMT-0800 (Pacific Standard Time),510,6563
Tue Jan 01 2019 00:00:00 GMT-0800 (Pacific Standard Time),504,6508
Wed Jan 02 2019 00:00:00 GMT-0800 (Pacific Standard Time),503,6448
Thu Jan 03 2019 00:00:00 GMT-0800 (Pacific Standard Time),512,6379
Fri Jan 04 2019 00:00:00 GMT-0800 (Pacific Standard Time),514,6342
Sat Jan 05 2019 00:00:00 GMT-0800 (Pacific Standard Time),512,6337
Sun Jan 06 2019 00:00:00 GMT-0800 (Pacific Standard Time),509,6299
Mon Jan 07 2019 00:00:00 GMT-0800 (Pacific Standard Time),510,6292
Tue Jan 08 2019 00:00:00 GMT-0800 (Pacific Standard Time),509,6198
Wed Jan 09 2019 00:00:00 GMT-0800 (Pacific Standard Time),511,6241
Thu Jan 10 2019 00:00:00 GMT-0800 (Pacific Standard Time),510,6225
Fri Jan 11 2019 00:00:00 GMT-0800 (Pacific Standard Time),512,6242
Sat Jan 12 2019 00:00:00 GMT-0800 (Pacific Standard Time),510,6218
Sun Jan 13 2019 00:00:00 GMT-0800 (Pacific Standard Time),506,6238
Mon Jan 14 2019 00:00:00 GMT-0800 (Pacific Standard Time),505,6227
Tue Jan 15 2019 00:00:00 GMT-0800 (Pacific Standard Time),506,6205
Wed Jan 16 2019 00:00:00 GMT-0800 (Pacific Standard Time),503,6159
Thu Jan 17 2019 00:00:00 GMT-0800 (Pacific Standard Time),506,6151
Fri Jan 18 2019 00:00:00 GMT-0800 (Pacific Standard Time),506,6179
Sat Jan 19 2019 00:00:00 GMT-0800 (Pacific Standard Time),505,6229
Sun Jan 20 2019 00:00:00 GMT-0800 (Pacific Standard Time),505,6238
Mon Jan 21 2019 00:00:00 GMT-0800 (Pacific Standard Time),502,6222
Tue Jan 22 2019 00:00:00 GMT-0800 (Pacific Standard Time),500,6291
Wed Jan 23 2019 00:00:00 GMT-0800 (Pacific Standard Time),494,6311
Thu Jan 24 2019 00:00:00 GMT-0800 (Pacific Standard Time),493,6383
Fri Jan 25 2019 00:00:00 GMT-0800 (Pacific Standard Time),493,6445
Sat Jan 26 2019 00:00:00 GMT-0800 (Pacific Standard Time),494,6476
Sun Jan 27 2019 00:00:00 GMT-0800 (Pacific Standard Time),494,6500
Mon Jan 28 2019 00:00:00 GMT-0800 (Pacific Standard Time),494,6545
